Name	Description	Postpone	APT	Chocolatey	Homebrew	NPM	Pipx	WMIC	Env	PathLinux	PathMacOS	PathWindows
Lintian	Lintian	9								/usr/share/linda, /usr/share/lintian		
LLVM	LLVM	0	^llvm-.*	llvm	llvm					/usr/bin/llvm-*, /usr/lib/llvm-*		
Maven	Maven	0		maven	maven					/usr/bin/mvn, /usr/share/apache-maven-*		
MicrosoftEdge	Microsoft Edge	0	microsoft-edge-stable		microsoft-edge			Microsoft Edge		/opt/microsoft/msedge, /usr/bin/microsoft-edge-stable, /usr/bin/microsoft-edge	/Applications/Microsoft Edge.app	
MicrosoftEdgeWebDriver	Microsoft Edge Web Driver	0						Microsoft Edge WebView2 Runtime	EDGEWEBDRIVER	/usr/bin/edgedriver, /usr/bin/msedgedriver, /usr/local/share/edge_driver	/usr/local/bin/msedgedriver, /usr/local/share/edge_driver	C:\SeleniumWebDrivers\EdgeDriver
MicrosoftInternetExplorer	Microsoft Internet Explorer	0										C:\Program Files (x86)\Internet Explorer
MicrosoftInternetExplorerWebDriver	Microsoft Internet Explorer Web Driver	0							IEWEBDRIVER			C:\SeleniumWebDrivers\IEDriver
Miniconda	Mini Conda	0			miniconda			Miniconda3 py311_23.5.2-0 (Python 3.11.4 64-bit)	CONDA	/usr/bin/conda, /usr/share/miniconda	/usr/local/bin/conda, /usr/local/miniconda, $Env:HOME/.conda	C:\Miniconda
MongoDB	MongoDB	0	^mongodb-.*	mongodb.install, mongodb								
Mono	Mono	0	^mono-.*, ^monodoc-.*		mono					/usr/bin/mono-*, /usr/bin/mono, /usr/lib/mono-source-libs, /usr/lib/mono, /usr/lib/monodoc, /usr/share/mono-*, /usr/share/mono, /usr/share/monodoc		
MSSQL	MS SQL	0	mssql-tools, unixodbc-dev							/opt/mssql-tools		$Env:PROGRAMFILES\Microsoft SQL Server\
MSYS2	MSYS2 Pacman	0										C:\msys64
MySQL	MySQL	0	^mysql-.*, libmysqlclient-dev		mysql-client, mysql					/usr/bin/mysql*, /usr/lib/mysql, /usr/share/mysql-*, /usr/share/mysql		
Netlify	Netlify	0			netlify-cli	netlify-cli, netlify				/usr/local/lib/node_modules/netlify, /usr/local/lib/node_modules/netlify-cli		
Newman	Newman	0				newman				/usr/local/lib/node_modules/newman		
Nginx	Nginx	0	nginx		nginx						/usr/local/etc/nginx	C:\tools\nginx*
